round,best_fitness,best_position
0,1658.9333626837847,27.75613558977338 80.64339222993434 34.0553468017209 32.56755340717238 29.299092120962975 54.19373146644753 37.61785794328802 28.831644219414347 28.401387535690514 84.46276897601965 21.398285929118288 21.910571972238102 0.7100684854937043 
10,1561.302340428322,22.85058914240673 78.312302382808 32.0010168667779 34.40128009265656 39.20441059442171 63.72890890992136 26.963996389212063 38.46055648385293 28.405202629145194 87.9199761403931 27.088020273103965 31.901717824906797 1.1642352912706957 
20,1566.3169627262948,21.823833808533287 75.66456215208903 32.28968293221209 35.007737028727625 39.472115935889576 69.35249076015461 26.68088207084388 38.45329000619089 27.07135743320695 79.3096422982377 26.448832948971443 32.15201278573772 1.1711591267682162 
30,1691.714680220249,22.74702245465443 73.82309981705671 32.289110200453955 35.10480866053453 37.5529935681109 64.83429929064003 26.623029175778143 38.455058911555895 26.933667223722455 69.36529142136072 26.258030147160824 33.02912244514476 1.1736298685770499 
40,1658.9630968938213,22.654118006784437 74.03961968280126 32.275220335267875 34.894506593273114 40.98851801072057 64.20800572014734 26.638755094791925 38.455316111140455 27.02301461998743 92.6334520194148 26.315395253840663 33.69233753073854 1.1746514161912955 
50,1560.7945718483336,22.58504228571919 74.49782085005786 32.28031741711893 34.59547416499449 39.56497817929239 64.25756358847146 26.637323141561524 38.454980119606795 27.011609336602234 95.23530069522934 26.398687200901424 33.60452850361027 1.1751954757162368 
60,1657.3439731503297,22.58599623797248 75.59621616659749 32.27916603639501 34.61953345037094 38.6476437862541 64.25886295238523 26.63853278491854 38.45391924232456 27.01056294224418 93.96790906480865 26.311720780545453 33.58543686627136 1.175344251667743 
70,1806.7691148308745,22.58681117221104 75.09137801513228 32.27945298479687 34.612348567540565 39.19218245047721 64.26168194972844 26.63819260323174 38.454147342411694 27.01105444165342 94.88921982312718 26.410151056357538 33.57027700022797 1.1751800545561284 
80,1561.4627899417226,22.588680938855166 75.4624486446848 32.27947169562735 34.6232827261314 39.22850927562989 64.2621650221825 26.63819271154225 38.454269973098405 27.010751418318375 93.28217823157729 26.352941514741033 33.569767798912935 1.1751978442844473 
90,1666.0797678826266,22.588886202517642 75.32403759112141 32.27946736269509 34.61692095264794 39.024042060866854 64.26363252877196 26.63819151050521 38.45430671081911 27.01073370293329 93.2540413292032 26.347040258760302 33.56872569091165 1.175200012893729 
100,1714.55355980599,22.588860512556618 75.32117152478426 32.27946586597136 34.618799368092525 38.984809362218655 64.26363844601944 26.638191590482695 38.45430939190192 27.010634627989713 94.06263447519862 26.344441144264984 33.56880855566375 1.1751789146822806 
110,1886.7012709792343,22.588853243129808 75.32528235240804 32.27946567008003 34.61754315195106 39.228372553205496 64.26281671997172 26.638191609219803 38.45431496824795 27.01065394493726 94.19056507985692 26.352793433979965 33.568761291914754 1.175158095314682 
120,1729.2575556613833,23.403548913300515 72.4859037642527 31.58916689781027 9.659540797454817 1201.9297565303586 -245.60276730298887 26.643555175362323 37.989820951604614 47.40772804817901 139.17664615041417 28.01782410610125 40.29781598997658 5.223967424159557 
130,1660.02930019868,23.0651544927479 72.38017360962732 32.13350263459772 15.744925505194665 1382.1574037832129 -270.38897042678843 26.812576306701146 38.28212585974247 35.72127562643722 161.45871239440288 27.706702819726658 42.28603706954464 7.262764804111999 
140,1683.2012867592605,23.102479878615995 72.382738858292 32.084013349739635 19.068139019410015 417.91070917180696 -238.40566290338774 26.844836143317888 38.192325063626335 35.145566763625276 170.6204091330068 27.721313007382474 33.144654375374515 5.3625130638482865 
150,1588.3241282994675,23.09996073707962 72.37815919661409 32.07284320712335 13.025433831806623 14.361372861231757 -238.55732195038217 26.832206635804294 38.171143453380665 35.20379175421539 164.71118925031385 27.809755135269402 34.630799945810224 3.4908595483390057 
160,1718.346376336937,23.10439460478858 72.3777819945778 32.07169525010178 18.821842894910077 -1005.5616058370056 -239.45399808822162 26.81328361166571 38.16840787327229 35.20564763454442 165.74541492979682 27.787477508840045 35.308354730985826 3.6245320649959303 
170,1683.3946002236805,23.100241254935565 72.37812881590806 32.07220678961913 17.308354792590283 1898.8094897288834 -239.36033430706968 26.81920004061519 38.16801685697186 35.20488988599502 166.28811504696398 27.7907687223996 35.74225179269988 3.868685499849295 
180,1752.401167788896,23.097147686818385 72.37815362236218 32.072262100277406 15.950026723163814 1539.1184446020882 -239.23617869055153 26.82251789023831 38.16783696287698 35.20505928869424 166.06116588859012 27.78646721472323 35.653889476743544 3.817248125986511 
190,1922.7965938849618,23.099382821533407 72.37814955160327 32.07224387662403 14.628324330555204 481.89412549888925 -239.25367450024675 26.82356140065673 38.1678093458075 35.205005513137635 166.07878197260246 27.794027372167715 35.6833678692953 3.7987046825124082 
